numero_faq;problema;solucao;categoria_faq;;;;;
68144;O QUE É MORMO?;"O mormo é uma doença fatal e contagiosa que acomete equídeos, causada pela bactéria Burkholderia mallei, e encontra-se entre as enfermidades listadas pela Organização Mundial de Sanidade Animal (OIE). No Brasil, é uma doença de notificação obrigatória sujeita a normas específicas para controle e erradicação, definidas pela Instrução Normativa nº 24 de 5 de abril de 2004, a qual segue os preceitos internacionais de sanidade animal estabelecidos pela OIE. Dentre as medidas para vigilância do mormo, está a investigação compulsória pelo serviço veterinário oficial dos casos suspeitos, com realização de exames diagnósticos, bem como a realização de exames para o trânsito interestadual de equídeos provenientes de Unidades da Federação (UF) onde tenha sido confirmado caso da doença, bem como para participação de equídeos em eventos de aglomeração animal realizados nessas UF’s, conforme definido na IN 24/2004. Atualmente, os estados onde se confirmou a presença de mormo são: Alagoas, Amazonas, Ceará, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Roraima e Sergipe. Havendo casos suspeitos de mormo, o serviço veterinário oficial deverá ser imediatamente notificado, para adotar as medidas necessárias à investigação do episódio e à prevenção da propagação da doença. 
 
SINTOMAS – São considerados casos suspeitos de mormo animais com febre, corrimento nasal mucopurulento, dispnéia, formação de nódulos e ulcerações no trato respiratório superior, nos pulmões e nos rins e formação de crostas e úlceras na pele, não necessariamente manifestando todos os sinais descritos acima, bem como animais que apresentem diagnóstico inconcluso de doença respiratória refratária a tratamentos prévios ou com recidivas também inconclusas e animais reagentes à prova laboratorial de fixação de complemento. 
 
CONTAMINAÇÃO – Acontece pelo contato com material infectante (pus, secreção nasal, urina ou fezes). O agente penetra por via digestiva, respiratória, genital ou cutânea (por lesão). O germe cai na circulação sanguínea e depois alcança os órgãos, principalmente pulmões e fígado. 
 
TRATAMENTO: Não há tratamentos ou vacinas eficazes contra o mormo. Animais positivos deverão ser sacrificados imediatamente e o produtor deve comunicar à Secretaria de Defesa Sanitária, do Ministério da Agricultura. 
 
ATENÇÃO! Se confirmando caso de mormo, o serviço veterinário oficial deverá adotar as medidas de vigilância e saneamento de foco previstas pela IN 24/2004, incluindo interdição da propriedade foco, investigação epidemiológica e realização de exames laboratoriais nos demais animais da propriedade, após eliminação do animal positivo. Conforme disposto na IN 24/2004 e no Decreto nº 24.548, de 3 de julho de 1934, é obrigatório o sacrifício de animais acometidos pelo mormo, não cabendo indenização ao proprietário. Os laboratórios que fazem diagnósticos estão disponíveis no site do MAPA, conforme procedimento indicado abaixo: 
 
1. Acessar o endereço eletrônico: http://www.agricultura.gov.br 
2. No campo Assuntos clicar em Laboratórios; 
3. Selecione o campo: Áreas de atuação - Rede Nacional de Laboratórios Agropecuários; 
4. Selecionar o link (Área de atuação): Diagnóstico Animal; 
 ";DEFESA E SEGURANCA-DEFESA ANIMAL-DOENCA ANIMAL-MORMO;;;;;
68145;ONDE OBTER INFORMAÇÕES?;"As informações devem ser obtidas junto ao Órgão Estadual de Defesa Sanitária Animal do Estado onde o interessado atua profissionalmente ou junto ao Serviço de Saúde Animal da respectiva Superintendência Federal de Agricultura, Pecuária e Abastecimento. No seguinte link encontram-se endereços e contatos de todas Superintendências: 
 
http://www.agricultura.gov.br/sfa 
 
 ";DEFESA E SEGURANCA-DEFESA ANIMAL-DOENCA ANIMAL-MORMO;;;;;
68146;O QUE É RAIVA?;A raiva é uma doença aguda do Sistema Nervoso Central (SNC) que pode acometer todos os mamíferos, inclusive os seres humanos. É caracterizada por uma encefalomielite fatal causada por vírus do gênero Lyssavirus. A Organização Mundial de Saúde Animal (OIE), em seu Código Sanitário para os Animais Terrestres, lista a raiva na categoria das enfermidades comuns a várias espécies.;DEFESA E SEGURANCA-DEFESA ANIMAL-DOENCA ANIMAL-RAIVA;;;;;
68147;COMO COMBATER A RAIVA?;"<div style=""text-align: justify;"">Desde 1966, o Ministério da Agricultura, por meio da Divisão de Defesa Sanitária Animal, instituiu o Plano de Combate à Raiva dos Herbívoros, que atualmente se denomina Programa Nacional de Controle da Raiva dos Herbívoros (PNCRH), executado pelo Departamento de Saúde Animal (DSA), do Ministério da Agricultura, Pecuária e Abastecimento (Mapa). 
 
O PNCRH estabelece suas ações visando ao efetivo controle da ocorrência da Raiva dos Herbívoros no Brasil, e não à convivência com a doença. Esse objetivo é alcançado por meio do controle populacional de seu principal transmissor, o Desmodus rotundus, na adoção da vacinação dos herbívoros domésticos (em áreas de risco), associados a outras medidas profiláticas e de vigilância adotados na de defesa sanitária animal.Atualmente a legislação federal que aprova as Normas Técnicas para o Controle da Raiva dos Herbívoros no Brasil é a Instrução Normativa Ministerial nº 5, de 1º de março de 2002. 
 
OBSERVAÇÃO: A Instrução Normativa MAPA - 31, de 03/09/2014 altera o art. 2o da Instrução Normativa no 5, de 1o de março de 2002, e o art. 3o do seu Anexo.</div>";DEFESA E SEGURANCA-DEFESA ANIMAL-DOENCA ANIMAL-RAIVA;;;;;
68148;PRINCIPAIS TRANSMISSORES;Em países onde a raiva canina é controlada e não existem morcegos hematófagos, os principais transmissores são os animais silvestres terrestres, como as raposas (Vulpes vulpes), os coiotes (Canis latrans), os lobos (Canis lupus), as raposas-do-ártico (Alopex lagopus), os raccoon-dogs (Nyctereutes procyonoides), os guaxinins (Procyon lotor), os skunks (Mephitis mephitis), entre outros. Por outro lado, onde a doença não é controlada, como ocorre na maioria dos países dos continentes africano, asiático e latino-americano, o vírus é mantido por várias espécies de animais domésticos e silvestres. No Brasil, a principal espécie animal transmissora da raiva ao ser humano continua sendo o cão, embora os morcegos estejam cada vez mais aumentando a sua participação, podendo ser os principais responsáveis pela manutenção de vírus no ambiente silvestre. Identificações positivas de vírus da raiva já foram descritas em animais silvestres da fauna brasileira, tais como as raposas (Dusicyon vetulus), jaritatacas (Conepatus sp), guaxinins (Procyon cancrivorous), sagüis (Callithrix jachus), cachorro-do-mato (Cerdocyon thous), morcegos hematófagos e não hematófagos.;DEMANDA::SIC::DEFESA E SEGURANCA::DEFESA ANIMAL::DOENCA ANIMAL::RAIVA;;;;;
68149;O QUE É ENCEFALOPATIA?;"<div style=""text-align: justify;"">Principais informações sobre a doença da Vaca Louca. 
 
1. O que é? 
 
A Encefalopatia Espongiforme Bovina – EEB, comumente conhecida como “doença da vaca louca”, é uma enfermidade degenerativa e não contagiosa que afeta o sistema nervoso central de bovinos, causada por uma proteína infectante chamada prion. 
 
2. Quais são os sinais clínicos da doença nos animais? 
 
Ela é caracterizada clinicamente por nervosismo, reação exagerada a estímulos externos e dificuldade de locomoção, queda na produção de leite e diminuição de apetite. É uma doença crônica e os sinais clínicos vão se agravando com o decorrer do tempo. Além disso, apresenta longo período de incubação (tempo entre o momento da infecção e o início da doença), que em média é de 4 a 5 anos. 
 
3. A EEB é uma epidemia? 
 
Não. A EEB foi diagnostica pela primeira vez em 1986 no Reino Unido, país que concentra 98% de incidência de casos. Seu auge foi em 1992, e a partir de então os casos estão diminuindo. Em 2011, foram registrados apenas 29 casos no mundo inteiro. 
 
4. Como surgiu? 
 
Sua origem ainda é controversa. Especula-se que pode ter surgido através do consumo de ração feita utilizando farinha de carne e ossos obtidas de um ovino infectado com Scrapie, ou bovino infectado com uma Encefalopatia Espongiforme Transmissível (EET) ainda desconhecida. 
 
5. O que causa a EEB? 
 
O agente causador da EEB é denominado de prion (do inglês, proteinaceous infectious particle) ou PrP (prion protein), e é uma proteína encontrada no tecido nervoso de animais infectados. A teoria mundialmente mais aceita é que a EEB é uma doença de ocorrência natural em bovinos, semelhante a CJD (Creutzfeldt-Jakob) que ocorre em humanos. 
 
6. É uma doença contagiosa? 
 
Não. A EEB é transmitida via alimento contaminado com o príon, como rações feitas com farinhas de carne e ossos obtidas de restos de animais infectados. 
 
7. O leite e seus produtos derivados podem transmitir a EEB? 
 
Não. Segundo a Organização Mundial de Saúde Animal – OIE, o leite não apresenta risco de transmissão de EEB. 
 
8. A carne é segura em relação à EEB? 
 
Sim. Segundo a Organização Mundial de Saúde Animal – OIE, a carne obtida sob condições específicas, que são aplicadas em matadouros sob inspeção oficial, não apresenta risco de transmissão de EEB. 
 
9. O que está sendo feito para proteger a saúde animal? 
 
A principal medida para proteger a saúde animal é o chamado “feed ban”, ou seja, a proibição de alimentar bovinos com determinados produtos de origem animal. A primeira medida foi adotada em 1995, quando se proibiu alimentar ruminantes com certos produtos de ruminantes. Em 2004, proibiu-se a alimentação de ruminantes com produtos de origem animal (exceto lácteos, colágeno de couro e peles e farinha de ossos calcinada). Além do “feed ban”, são adotas medidas nas fábricas de ração para animais visando impedir a contaminação de ração para ruminantes com proteínas de origem animal utilizadas para aves e suínos. Outro exemplo é a esterilização de toda farinha de carne ossos de ruminantes, além da vigilância na população alvo visando identificar possíveis casos e impedir que eles entrem na cadeia de produção. 
 
10. Essas medidas são eficientes? 
 
Sim. Prova disso é que o Brasil se juntou recentemente ao grupo de países classificados pela OIE como de risco insignificante para EEB. Ou seja, todas as medidas necessárias para se evitar a propagação de doença em nossa população de bovinos estão de acordo com os padrões internacionais. 
 
11. Existe algum teste capaz de detectar a EEB em bovinos? 
 
Pelas suas características, até o momento, os únicos testes capazes de detectar a doença só podem ser realizados após a morte do animal. Os testes histopatológicos e de detecção da proteína infectante (príon) são feitos em amostras de cérebro obtidas do animal morto. 
 
12. O que o Mapa faz para impedir a entrada da EEB no Brasil? 
 
Desde 1990, o Mapa vem adotando medidas para impedir a entrada do agente causador da EEB. Inicialmente, proibiu-se a importação de bovinos de países que haviam registrados casos da doença. Com o passar do tempo, a legislação foi se adequando ao cenário internacional e, hoje, a importação de bovinos , seus produtos e subprodutos está vinculada a classificação de risco do país exportador e se há registro de casos e há quanto tempo ele ocorreu. 
 
13. O que o Mapa faz para proteger a saúde humana? 
 
Diversas medidas são aplicadas em estabelecimentos de abate sob inspeção federal, no sentido de não permitir a entrada de um bovino com risco de EEB na cadeia de alimentação, onde se destaca a inspeção ante mortem (animal vivo) realizada por médico veterinário nos animais, que serão submetidos à avaliação e apenas liberados ao abate os que se apresentarem clinicamente saudáveis. 
 
14. Há vacina contra essa doença? 
 
Não há vacina contra a EEB, pois o agente causador da doença não é reconhecido como um “invasor” e assim não induz a formação de anticorpos, que são as células protetoras do organismo. 
 
15. Existe algum país livre da Vaca Louca? 
 
Não. Diante da possibilidade da ocorrência natural da doença, em animais com idade avançada, não é possível ter um país livre de EEB. Por isso, a Organização Mundial de Saúde Animal (OIE) classifica os países de acordo com risco de ocorrência. A melhor classificação é a de risco insignificante para a doença, como é o caso do Brasil que acabou de receber. 
 
16. Neste caso, o Brasil perde essa classificação internacional? 
 
Não. Segundo a OIE, a classificação de risco insignificante é mantida desde que o animal positivo tenha nascido há mais de 11 anos. 
 
17. O que é mais importante saber? 
 
A doença da Vaca Louca não é contagiosa. Isto é, ela não é transmitida de um animal para outro, nem do animal para humanos. E o leite e carne derivados de bovinos não apresentam risco ao consumo humano.</div>";DEFESA E SEGURANCA-DEFESA ANIMAL-DOENCA ANIMAL-VACA LOUCA;;;;;
68150;FISCALIZAÇÃO DO BEM ESTAR ANIMAL;" O Ministério da Agricultura, Pecuária e Abastecimento é responsável pelo fomento e pela fiscalização do bem-estar dos animais de produção e interesse econômico. 

 A fiscalização é competência dos departamentos da SDA - Secretaria de Defesa Agropecuária e o fomento é competência da Coordenação de Boas Práticas e Bem-estar Animal (CBPA) da Secretaria de Mobilidade Social, do Produtor Rural e Cooperativismo (SMC). 
Sendo o bem-estar animal um tema que envolve diversas unidades do MAPA, foi formalizada a Comissão Técnica Permanente de Bem-Estar Animal – CTBEA criada em 2008 e cujas competências foram atualizadas pela Portaria nº 436 de 2017, para organizar as ações e harmonizar procedimentos. 
 
Segue contato da Comissão Técnica Permanente de Bem-Estar Animal – CTBEA: 
 
<a href=""mailto:comissao.bea@agricultura.gov.br"">comissao.bea@agricultura.gov.br</a> 
 
Para acesso às legislações do MAPA que abordam o bem-estar dos animais de produção e interesse econômico, siga as orientações abaixo: 
 
1- Acessar o site do MAPA: http://www.agricultura.gov.br/ 
2- No campo Assuntos, clicar na opção: Sustentabilidade; 
3- Clicar no item: Bem-estar Animal (Aqui o cidadão já poderá verificar diversas informações, tais como: Projetos, Linhas de Crédito, Parceiros, Eventos e Recomendações OIE); 
4- Selecionar o item: Legislação. 
 
Este item direciona o cidadão às seguintes legislações: 
 
- Decreto nº 30.691 de 1952; 
- Portaria nº 436, de fevereiro de 2017; 
- Instrução Normativa nº 46, de 2011; 
- Instrução Normativa nº 13 de 2010; 
- Instrução Normativa nº 56, de 6 de novembro de 2008; 
- Instrução Normativa nº 03 de 2000: 
- Lei Nº 794, de 8 de outubro de 2008; 
- Lei Nº 10.519, de 17 de julho de 2002: 
- Lei Nº 9.605, de 12 de fevereiro de 1998; 
 
Além das recomendações da OIE - ORGANIZAÇÃO INTERNACIONAL DE SAÚDE ANIMAL para bem-estar animal nas diferentes etapas da produção e para diferentes espécies.";DEFESA E SEGURANCA-DEFESA ANIMAL-FISCALIZACAO ANIMAL-FISCALIZACAO ANIMAL;;;;;
68151;O QUE É RASTREABILIDADE?;"Rastreabilidade é saber quando e onde o animal nasceu, onde e como foi criado, especialmente bovídeos que, conforme o sistema de criação, podem ser transferidos de produtores e propriedades várias vezes durante a vida. O "" como foi criado "" garante que não se utilizou medicamentos ou alimentos proibidos, e permite saber quais vacinas e remédios foram aplicados, garantindo-se nestes casos, sistemas específicos de produção, boi a pasto, confinado e outros."" Quando e onde""  foi abatido: se temos a data de nascimento e a do abate. Existem mercados que só adquirem produtos em plantas frigoríficas habilitadas por eles, com exigências de processos de conservação específicos. Num bom sistema de rastreabilidade, temos que saber  neste exato momento, onde se encontra determinado animal. O ideal é o consumidor pegar uma peça de carne no mercado e conseguir voltar até a data de nascimento do animal que a originou, por meio das informações da embalagem. O MAPA visando estabelecer normas para a produção de carne bovina com garantia de origem e qualidade, publicou a Instrução Normativa n° 17, em 14/07/2006, com nova estrutura operacional para o Serviço de Rastreabilidade da Cadeia Produtiva de Bovinos e Bubalinos - SISBOV.";DEFESA E SEGURANCA-DEFESA ANIMAL-FISCALIZACAO ANIMAL-FISCALIZACAO ANIMAL;;;;;
68152;QUAL O OBJETIVO DO SISBOV?;"O Sisbov - Serviço de Rastreabilidade da Cadeia Produtiva de Bovinos tem como objetivo registrar e identificar o rebanho bovino e bubalino do território nacional possibilitando o rastreamento do animal desde o nascimento até o abate, disponibilizando relatórios de apoio a tomada de decisão quanto a qualidade do rebanho nacional e importado. A Instrução Normativa 17 de 14/07/2006 consolida toda a legislação do Sisbov e introduz inovações como o cadastramento por propriedade e não por animais. No novo conceito de propriedade aprovada, será exigida a identificação de todos os animais, o controle da utilização de insumos, a descrição do sistema de produção e o registro dos eventos sanitários e de manejo, bem como a participação dos órgãos estaduais de sanidade animal no sistema. As novas regras alcançam todas as fases de produção, transformação, distribuição e dos serviços agropecuários para assegurar a rastreabilidade, a origem e a identidade dos animais, produtos, subprodutos e insumos agropecuários da cadeia produtiva de bovinos e bubalinos no País. A adesão ao Sisbov é voluntária, mas exigível para as exportações de carne destinadas aos mercados da União Europeia e Chile, que cobram a rastreabilidade bovina. A Instrução Normativa 17, de 14/07/2006 contendo as regras do SISBOV, a Planilha de Relação de Certificadoras, Acesso ao sistema SISBOV, relação de Fábricas de Elementos de Identificação, e Lista de propriedades APTAS podem ser encontradas no site do Ministério da Agricultura conforme orientações abaixo: 
 
1- Acesse o site http://www.agricultura.gov.br 
2- No campo Assuntos, clicar na opção: Saúde Animal e Sanidade Vegetal; 
3- Selecionar a opção: Saúde Animal; 
4- Selecionar a opção: Rastreabilidade; 
 
Para acesso à publicações referente ao assunto: 
 
1- Acesse o site http://www.agricultura.gov.br 
2- Clique no link: Biblioteca; 
3- Selecione a opção: Agrobase; 
4- Clique na opção: Clique aqui para acessar o Agrobase, abaixo do Tutorial de como fazer pesquisas no Agrobase;  
5- No campo de pesquisar digite a palavra SISBOV; 
 
 ";DEFESA E SEGURANCA-DEFESA ANIMAL-FISCALIZACAO ANIMAL-FISCALIZACAO ANIMAL;;;;;
68155;VIAGEM INTERNACIONAL -A ANIMAL DE ESTIMAÇÃO;"Viagem com Animais para o Exterior (Exportação) 
  
Programe a viagem internacional de seu animal de estimação com a antecedência necessária, de forma a atender as exigências sanitárias do país de destino estabelecidas em Acordos Internacionais com o Ministério da Agricultura Pecuária e Abastecimento. A apresentação de documentação inexata, incompleta, rasurada ou erroneamente preenchida resulta na impossibilidade de emissão do Certificado Veterinário Internacional. 
  
A primeira providência é se informar sobre as exigências sanitárias do país de destino. O proprietário do animal deverá procurar um veterinário particular, que fornecerá o atestado de saúde do animal e outros documentos eventualmente exigidos pelo país de destino. 
  
O mesmo CVI de entrada só vale para saída dentro do Mercosul. Para os EUA e demais países é necessária a emissão de novo CVI. 
  
Como regra geral, para emissão de CVI, deverão ser apresentados os seguintes documentos: 
  
1) Requerimento para Fiscalização de Animais de Companhia 
  
2) Carteira de Vacinação 
  
3) Atestado de Saúde 
A validade do Atestado de Saúde varia conforme o país de destino. 
  
4) Outras Exigências: 
  
4.1. Atualmente o Ministério da Agricultura, Pecuária e Abastecimento possui 25 modelos de Certificado Veterinário Internacional acordados com os seguintes países: África do Sul, , Canadá, Chile, China, Cingapura, Colômbia, Emirados Árabes Unidos, Equador, Estados Unidos da América, Hong Kong, Índia, Israel, Japão, Mercosul, México, Noruega, , Omã, Panamá, Peru, Suíça, Taiwan, União Europeia e Vietnã. 
  
4.2. Caso o proprietário deseje transportar o animal para um país que não esteja entre os que possuam modelo de CVI oficialmente acordado com o Brasil, deverá com a antecedência necessária requerer junto ao Serviço Veterinário Oficial do país de destino dos animais, as exigências sanitárias a serem atendidas no CVI a ser emitido. 
   
Informações Gerais 
  
- O proprietário dos animais deverá informar-se, junto ao Consulado, à Embaixada ou ao Serviço Veterinário Oficial do país de destino, se há alguma exigência específica a ser atendida, como a necessidade de Autorização de Importação (<em>import permit</em>) prévio e sobre os requisitos sanitários exigidos por aquele país. 
  
- Verificar também a exigência de visto consular ou reconhecimento de firma, do veterinário oficial em cartório, para a assinatura constante no CVI. 
  
Normalmente o CVI tem validade de 10 (dez) dias, porém este prazo varia de acordo com o país de destino. Caso não haja modelo de CVI acordado entre o Brasil e o país de destino, o proprietário do animal deverá apresentar os requisitos sanitários do país de destino à Vigilância Agropecuária Internacional - VIGIAGRO, ou à Coordenação de Trânsito e Quarentena Animal (ctqa@agricultura.gov.br) com antecedência. Esses requisitos sanitários poderão ser consultados junto ao Serviço Veterinário Oficial ou Embaixada/Consulado do país de destino. 
  
A lista de unidades do MAPA onde o CVI pode ser emitido está disponível no site: http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil 
   
A obtenção de CVI deverá ser solicitada no horário comercial e com agendamento prévio, de forma que o proprietário deverá se programar com a devida antecedência. 
 
 
Requisitos para se obter o Certificado Veterinário Internacional 
 
Depende do animal a ser transportado, a saber: 
 
a) Cães e Gatos 
 
Deverão ser portadores de atestado de saúde, emitido e assinado por médico veterinário da iniciativa privada, identificado por carimbo regulamentar, onde conste seu nome, número de inscrição no Conselho Regional de Medicina Veterinária no Estado em que trabalha, no qual declara, após a completa identificação do animal como raça, pelagem, sexo, tatuagem, microchip, nome etc. que o animal objeto do exame clínico realizado, não é portador de doenças infectocontagiosas,  nem portador de endo e ectoparasitas. Conforme o país de destino, mais informações podem ser solicitadas. Mais detalhes podem ser encontrados no site do MAPA: http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil 
 
 
 
b) Animais Silvestres ou Exóticos 
 
Deverão ser portadores, além do atestado de saúde, emitido pelo médico veterinário da iniciativa privada, também serem portadores de autorização do Ibama. 
 
 
Para maiores esclarecimentos, consultar o site do MAPA através do seguinte link: 
 
<a href=""http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil"">http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil</a>";DEFESA E SEGURANCA-DEFESA ANIMAL-TRANSPORTE ANIMAL-CVI;;;;;
68157;EMISSÃO DE CVI;"A lista de Unidades do MAPA para emissão de CVI pode ser encontrada em: 
 
<a href=""http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil"">http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil</a> 
 
 
 ";DEFESA E SEGURANCA-DEFESA ANIMAL-TRANSPORTE ANIMAL-CVI;;;;;
68158;CVI E PASSAPORTE DE CÃES E GATOS;" Para o ingresso de cães e gatos é necessário apresentar Certificado Veterinário Internacional (CVI) ou Passaporte (reconhecido pelo MAPA) emitido por Autoridade Veterinária do país de procedência atendendo aos requisitos sanitários do Brasil. 
Cão ou Gato 
 
 
A legislação que rege o ingresso de cães e gatos no Brasil é a Instrução Normativa MAPA nº 5, de 7 de fevereiro de 2013, cujos requisitos sanitários são atendidos conforme o modelo de Certificado Veterinário Internacional abaixo: 
http://www.agricultura.gov.br/assuntos/sanidade-animal-e-vegetal/saude-animal/transito-animal/arquivos-transito-internacional/ModelodeCertificadoVeterinrioInternacionalDraftofInternationalVeterinaryCertificate.pdf 
 
 
 
Outras Espécies 
 
Para trazer outras espécies de animais para o Brasil, como tartaruga, coelho, iguana, papagaio, peixe, porco da índia, furão e outros roedores as exigências sanitárias variam de acordo com o país de procedência. Para se informar sobre essas exigências, e emitir a Autorização de Importação (necessária para outras espécies mesmo que sendo animais de companhia), proprietário do animal deve procurar a Superintendência Federal de Agricultura do estado de destino. Os passageiros que estiverem em outro país deverão se dirigir ao serviço veterinário oficial (Ministério da Agricultura local ou órgão equivalente), podendo também procurar a Embaixada do Brasil. Para a emissão do CVI é necessária a apresentação dos documentos sempre em vias originais, acompanhados de uma fotocópia simples de cada e dentro dos prazos de validade estabelecidos. O mesmo CVI de entrada só vale para saída dentro do Mercosul. 
 
 
Para maiores esclarecimentos, consultar o site do MAPA através do seguinte link: 
 
<a href=""http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil"">http://www.agricultura.gov.br/assuntos/vigilancia-agropecuaria/animais-estimacao/sair-do-brasil/sair-do-brasil</a>";DEFESA E SEGURANCA-DEFESA ANIMAL-TRANSPORTE ANIMAL-CVI;;;;;
68159;ANIMAIS DE ESTIMAÇÃO;" 
Animais de estimação: 
 
O CVI (Certificado Veterinário Internacional) e o Passaporte para Trânsito de Cães e Gatos  é emitido gratuitamente pelo Ministério da Agricultura, Pecuária e Abastecimento.";DEFESA E SEGURANCA-DEFESA ANIMAL-TRANSPORTE ANIMAL-CVI;;;;;
